class,image,iou,dice,precision,recall
FV,7623_F2_f000400,0.000000,0.000000,1.000000,0.000000
FV,7623_F2_f000410,0.029214,0.056769,0.979107,0.029232
FV,7623_F2_f000460,0.000381,0.000761,1.000000,0.000381
FV,7623_F2_f000470,0.008935,0.017712,1.000000,0.008935
FV,7623_F2_f000480,0.015608,0.030737,1.000000,0.015608
FV,7623_F2_f000490,0.003911,0.007792,1.000000,0.003911
FV,7623_F2_f000500,0.000000,0.000000,1.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000000,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000010,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000020,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000030,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000040,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000050,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000060,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000070,0.000000,0.000000,0.000000,0.000000
FV,9852_Acanthopagrus_palmaris_f000080,0.000000,0.000000,0.000000,0.000000
FV,9852_Lutjanus_russellii_EJP_f000000,0.000000,0.000000,0.000000,0.000000
FV,9852_Lutjanus_russellii_EJP_f000010,0.000000,0.000000,0.000000,0.000000
FV,9852_Lutjanus_russellii_EJP_f000020,0.000000,0.000000,0.000000,0.000000
FV,9852_Lutjanus_russellii_EJP_f000070,0.000134,0.000268,0.000229,0.000321
FV,9852_Lutjanus_russellii_EJP_f000080,0.000000,0.000000,0.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000000,0.000000,0.000000,0.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000030,0.000000,0.000000,0.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000040,0.000000,0.000000,1.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000050,0.000000,0.000000,0.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000060,0.000000,0.000000,0.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000070,0.000000,0.000000,0.000000,0.000000
FV,9862_Acanthopagrus_palmaris_f000080,0.030252,0.058727,0.659212,0.030733
FV,9862_Acanthopagrus_palmaris_f000090,0.180031,0.305130,0.992026,0.180292
FV,9862_Acanthopagrus_palmaris_f000100,0.045338,0.086744,0.904802,0.045556
FV,9862_Acanthopagrus_palmaris_f000110,0.000056,0.000112,0.020548,0.000056
FV,9862_Acanthopagrus_palmaris_f000120,0.019461,0.038179,0.334490,0.020245
FV,9866_acanthopagrus_and_caranx_f000040,0.000000,0.000000,1.000000,0.000000
FV,9866_acanthopagrus_and_caranx_f000050,0.000000,0.000000,1.000000,0.000000
FV,9866_acanthopagrus_and_caranx_f000090,0.000000,0.000000,1.000000,0.000000
FV,9866_acanthopagrus_and_caranx_f000140,0.000000,0.000000,1.000000,0.000000
FV,9866_acanthopagrus_and_caranx_f000160,0.000000,0.000000,1.000000,0.000000
