class,image,iou,dice,precision,recall
FV,f_r_54_,0.679995,0.809520,0.952243,0.704004
FV,f_r_604_,0.873882,0.932697,0.905699,0.961354
FV,f_r_644_,0.938393,0.968217,0.978073,0.958559
FV,f_r_721_,0.915128,0.955683,0.950387,0.961039
FV,f_r_93_,0.878708,0.935439,0.990962,0.885807
FV,n_l_0_,0.767271,0.868312,0.920391,0.821810
FV,n_l_100_,0.930870,0.964197,0.967144,0.961269
FV,n_l_102_,0.779450,0.876058,0.852423,0.901040
FV,n_l_12_,0.000000,0.000000,0.000000,1.000000
FV,n_l_15_,0.952787,0.975823,0.996693,0.955808
FV,n_l_18_,1.000000,1.000000,1.000000,1.000000
FV,n_l_26_,0.000000,0.000000,0.000000,1.000000
FV,n_l_29_,1.000000,1.000000,1.000000,1.000000
FV,n_l_3_,0.885890,0.939493,0.945176,0.933877
FV,n_l_44_,1.000000,1.000000,1.000000,1.000000
FV,n_l_48_,0.000000,0.000000,0.000000,1.000000
FV,n_l_52_,1.000000,1.000000,1.000000,1.000000
FV,n_l_79_,0.938729,0.968397,0.961047,0.975859
FV,n_l_84_,0.751307,0.857996,0.903601,0.816773
FV,n_l_87_,0.000000,0.000000,0.000000,1.000000
FV,w_r_101_,1.000000,1.000000,1.000000,1.000000
FV,w_r_109_,1.000000,1.000000,1.000000,1.000000
FV,w_r_10_,1.000000,1.000000,1.000000,1.000000
FV,w_r_111_,0.534690,0.696805,0.941982,0.552898
FV,w_r_116_,0.000000,0.000000,0.000000,1.000000
FV,w_r_147_,1.000000,1.000000,1.000000,1.000000
FV,w_r_14_,1.000000,1.000000,1.000000,1.000000
FV,w_r_150_,1.000000,1.000000,1.000000,1.000000
FV,w_r_157_,1.000000,1.000000,1.000000,1.000000
FV,w_r_199_,0.000000,0.000000,0.000000,1.000000
FV,w_r_201_,0.787287,0.880985,0.806370,0.970818
FV,w_r_217_,1.000000,1.000000,1.000000,1.000000
FV,w_r_22_,0.169406,0.289730,0.174214,0.859914
FV,w_r_30_,0.895074,0.944632,0.910763,0.981118
FV,w_r_3_,0.553756,0.712796,0.828194,0.625624
FV,w_r_43_,0.000000,0.000000,0.000000,1.000000
FV,w_r_4_,1.000000,1.000000,1.000000,1.000000
FV,w_r_50_,1.000000,1.000000,1.000000,1.000000
FV,w_r_59_,1.000000,1.000000,1.000000,1.000000
FV,w_r_6_,0.367697,0.537687,0.991597,0.368846
FV,w_r_84_,1.000000,1.000000,1.000000,1.000000
HD,d_r_122_,0.970139,0.984843,0.989404,0.980323
HD,d_r_129_,1.000000,1.000000,1.000000,1.000000
HD,d_r_144_,1.000000,1.000000,1.000000,1.000000
HD,d_r_166_,0.918510,0.957524,0.961481,0.953600
HD,d_r_182_,0.872005,0.931627,0.957451,0.907160
HD,d_r_196_,0.877653,0.934840,0.970310,0.901872
HD,d_r_233_,0.912458,0.954226,0.927265,0.982801
HD,d_r_277_,0.874271,0.932918,0.955438,0.911435
HD,d_r_300_,0.000000,0.000000,0.000000,1.000000
HD,d_r_345_,0.888137,0.940755,0.915105,0.967885
HD,d_r_379_,0.601806,0.751410,0.965349,0.615093
HD,d_r_384_,0.000000,0.000000,0.000000,1.000000
HD,d_r_386_,0.919434,0.958026,0.979478,0.937494
HD,d_r_465_,0.916993,0.956699,0.971966,0.941904
HD,d_r_47_,0.880359,0.936373,0.983515,0.893544
HD,d_r_547_,0.844289,0.915571,0.979926,0.859148
HD,d_r_552_,0.945218,0.971838,0.960234,0.983725
HD,d_r_58_,0.889186,0.941343,0.970552,0.913841
HD,d_r_598_,0.934955,0.966384,0.984434,0.948984
HD,d_r_602_,0.941624,0.969935,0.983814,0.956442
HD,d_r_635_,0.908986,0.952323,0.974016,0.931575
HD,d_r_801_,0.913708,0.954909,0.982964,0.928410
HD,d_r_84_,0.847590,0.917509,0.992064,0.853376
HD,f_r_1033_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1059_,0.472714,0.641963,0.940120,0.487388
HD,f_r_106_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1079_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1165_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1199_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1220_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1229_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1276_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1282_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1298_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1303_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1319_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1340_,0.794188,0.885289,0.919499,0.853534
HD,f_r_13_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1410_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1428_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1435_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1440_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1450_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1452_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1461_,0.000000,0.000000,0.000000,1.000000
HD,f_r_1467_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1471_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1478_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1644_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1737_,1.000000,1.000000,1.000000,1.000000
HD,f_r_1782_,1.000000,1.000000,1.000000,1.000000
